School Name,Misconduct Num,School Police Num,Number of Offenders,Truancy Rate,Female Offenders,Male Offenders,Charter or Public,Address,Address_Upper,City,City_Upper,State,Zip
Spectrum CS,4,0,3,24.24,1,2,Charter,4369 Northern Pike,4369 NORTHERN PIKE, Monroeville, MONROEVILLE,PA,15146
Urban League of Greater Pittsburgh CS,3,0,3,71.24,3,0,Charter,327 North Negley Avenue,327 NORTH NEGLEY AVENUE, Pittsburgh, PITTSBURGH,PA,15206
Urban Pathway K-5 College CS,3,0,3,43.31,1,2,Charter,925 Penn Ave,925 PENN AVE, Pittsburgh, PITTSBURGH,PA,15222
Urban Pathway 6-12 CS,30,0,45,46.53,17,28,Charter,914 Penn Ave # 300,914 PENN AVE # 300, Pittsburgh, PITTSBURGH,PA,15222
Young Scholars of Mckeesport CS,0,0,0,51.16,0,0,Charter,413 Shaw Ave,413 SHAW AVE, McKeesport, MCKEESPORT,PA,15132
Young Scholars of Western PA,132,0,48,34.34,18,30,Charter,600 Newport Dr,600 NEWPORT DR, Pittsburgh, PITTSBURGH,PA,15234
Acmetonia Primary School,0,0.33,0,0.7,0,0,Public,300 Pearl Ave,300 PEARL AVE, Cheswick, CHESWICK,PA,15024
Colfax Upper Elementary School,1,0.33,1,0.96,0,1,Public,430 Colfax St,430 COLFAX ST, Springdale, SPRINGDALE,PA,15144
Springdale JSHS,9,0.34,9,6.89,0,9,Public,501 Butler Rd,501 BUTLER RD, Springdale, SPRINGDALE,PA,15144
Avonworth Elementary School,0,0.8,0,5.64,0,0,Public,1320 Roosevelt Rd,1320 ROOSEVELT RD, Pittsburgh, PITTSBURGH,PA,15237
Avonworth High School,14,1,26,6.36,12,14,Public,304 Josephs Ln,304 JOSEPHS LN, Pittsburgh, PITTSBURGH,PA,15237
Avonworth Middle School,3,1,7,6.86,1,6,Public,256 Josephs Ln,256 JOSEPHS LN, Pittsburgh, PITTSBURGH,PA,15237
Avonworth Primary Center,0,0.5,0,2.88,0,0,Public,1310 Roosevelt Rd,1310 ROOSEVELT RD, Pittsburgh, PITTSBURGH,PA,15237
Baldwin SHS,39,0,44,5.9,13,31,Public,4653 Clairton Blvd,4653 CLAIRTON BLVD, Pittsburgh, PITTSBURGH,PA,15236
Harrison MS,18,0,16,7.91,0,16,Public,129 Windvale Dr,129 WINDVALE DR, Pittsburgh, PITTSBURGH,PA,15236
McAnnulty Elementary School,0,0,0,6.35,0,0,Public,5151 McAnulty Rd,5151 MCANULTY RD, Pittsburgh, PITTSBURGH,PA,15236
Paynter Elementary School,2,0,2,5.45,1,1,Public,3454 Pleasantvue Dr,3454 PLEASANTVUE DR, Pittsburgh, PITTSBURGH,PA,15227
Whitehall Elementary School,31,0,11,8.18,3,8,Public,4900 Curry Rd,4900 CURRY RD, Pittsburgh, PITTSBURGH,PA,15236
Abraham Lincoln ES,0,0,0,0,0,0,Public,1524 Hamilton Rd,1524 HAMILTON RD, Pittsburgh, PITTSBURGH,PA,15234
Benjamin Franklin ES,0,0,0,0,0,0,Public,5400 Florida Ave,5400 FLORIDA AVE, Bethel Park, BETHEL PARK,PA,15102
Bethel Memorial ES,0,0,0,0,0,0,Public,3301 South Park Rd,3301 SOUTH PARK RD, Bethel Park, BETHEL PARK,PA,15102
Bethel Park HS,29,5.5,27,0,14,13,Public,309 Church Rd,309 CHURCH RD, Bethel Park, BETHEL PARK,PA,15102
Independence MS,40,1.5,31,0.6,7,24,Public,2807 Bethel Church Rd,2807 BETHEL CHURCH RD, Bethel Park, BETHEL PARK,PA,15102
Neil Armstrong 5-6 MS,2,1,3,0,0,3,Public,5800 Murray Ave,5800 MURRAY AVE, Bethel Park, BETHEL PARK,PA,15102
William Penn ES,0,0,0,0,0,0,Public,110 Woodlet Ln,110 WOODLET LN, Bethel Park, BETHEL PARK,PA,15102
Brentwood SHS,14,2.5,19,22.91,4,15,Public,3601 Brownsville Rd,3601 BROWNSVILLE RD, Pittsburgh, PITTSBURGH,PA,15227
Elroy Avenue ES,0,0,0,0,0,0,Public,3129 Elroy Ave,3129 ELROY AVE, Brentwood, BRENTWOOD,PA,15227
Moore ES,3,0,3,4.15,1,2,Public,491 N Lamb Blvd,491 N LAMB BLVD, Las Vegas, LAS VEGAS,NV,89110
Carlynton JSHS,56,0,52,0,20,32,Public,435 Kings Hwy,435 KINGS HWY, Carnegie, CARNEGIE,PA,15106
